etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.0,30.0,200.0,2.337e-04,1.044e-05,2.553e-04,1.075e-05,9.154e-01,6.141e-02
1.0,1.5,30.0,200.0,2.140e-03,5.077e-05,2.261e-03,5.515e-05,9.464e-01,3.402e-02
1.5,2.0,30.0,200.0,6.840e-03,1.139e-04,6.871e-03,1.216e-04,9.955e-01,2.430e-02
2.0,2.5,30.0,200.0,1.009e-02,1.838e-04,9.580e-03,1.592e-04,1.053e+00,2.466e-02
