etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.0,30.0,200.0,2.664e-04,9.127e-06,1.663e-04,7.508e-06,1.602e+00,5.668e-02
1.0,1.5,30.0,200.0,1.818e-03,4.676e-05,1.403e-03,3.336e-05,1.296e+00,3.502e-02
1.5,2.0,30.0,200.0,3.273e-03,7.925e-05,2.135e-03,5.556e-05,1.533e+00,3.555e-02
2.0,2.5,30.0,200.0,6.556e-03,1.268e-04,6.835e-03,4.405e-05,9.591e-01,2.039e-02
