etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.4,20.0,200.0,5.288e-04,9.882e-06,3.691e-04,1.036e-05,1.433e+00,3.371e-02
1.4,2.5,20.0,200.0,4.522e-03,4.846e-05,3.219e-03,5.720e-05,1.405e+00,2.075e-02
