etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.4,20.0,200.0,5.630e-04,7.718e-06,3.955e-04,7.007e-06,1.423e+00,2.240e-02
1.4,2.5,20.0,200.0,5.102e-03,4.846e-05,3.903e-03,5.194e-05,1.307e+00,1.635e-02
