etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.0,30.0,200.0,2.923e-04,8.120e-06,1.783e-04,6.156e-06,1.640e+00,4.431e-02
1.0,1.5,30.0,200.0,1.798e-03,3.489e-05,1.407e-03,2.855e-05,1.278e+00,2.808e-02
1.5,2.0,30.0,200.0,3.047e-03,5.600e-05,2.470e-03,3.681e-05,1.234e+00,2.366e-02
2.0,2.5,30.0,200.0,7.725e-03,9.954e-05,6.736e-03,8.090e-05,1.147e+00,1.761e-02
