etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.4,15.0,20.0,6.937e-04,1.023e-04,5.533e-04,6.624e-05,1.254e+00,1.900e-01
1.4,2.5,15.0,20.0,2.910e-03,3.332e-04,9.980e-04,2.386e-04,2.916e+00,2.651e-01
