etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.0,13.0,30.0,5.513e-04,4.678e-05,4.722e-04,3.957e-05,1.168e+00,1.193e-01
1.0,1.5,13.0,30.0,2.306e-03,1.070e-04,2.344e-03,8.875e-05,9.839e-01,5.990e-02
1.5,2.0,13.0,30.0,1.305e-02,2.566e-04,1.418e-02,2.461e-04,9.204e-01,2.623e-02
2.0,2.5,13.0,30.0,1.845e-02,3.227e-04,1.870e-02,2.724e-04,9.869e-01,2.276e-02
