etaDown,etaUp,ptDown,ptUp,DATA,DATAerr,MC,MCerr,SF,SFerr
0.0,1.0,30.0,200.0,5.957e-04,8.011e-06,3.950e-04,7.451e-06,1.508e+00,2.317e-02
1.0,1.5,30.0,200.0,3.804e-03,4.063e-05,2.822e-03,3.687e-05,1.348e+00,1.687e-02
1.5,2.0,30.0,200.0,7.174e-03,5.907e-05,5.661e-03,4.732e-05,1.267e+00,1.173e-02
2.0,2.5,30.0,200.0,1.701e-02,1.035e-04,1.383e-02,8.730e-05,1.229e+00,8.769e-03
